id,type,title,channel_or_publisher,url,published,discovered,status,priority,domains,notes
yt-LhnH0juUaGw,video,I got inside FIFA’s Secret World Cup Broadcast Network,@NetworkChuck,https://www.youtube.com/watch?v=LhnH0juUaGw,2026-07-19,2026-07-22,L0-discovered,2,,views=350305
yt-YC77Lb_cN6c,video,Fable 5 is back.....run these prompts before July 12th,@NetworkChuck,https://www.youtube.com/watch?v=YC77Lb_cN6c,2026-07-02,2026-07-22,L0-discovered,2,,views=169644
yt-axfNxZ1R6C4,video,I was wrong about VPNs,@NetworkChuck,https://www.youtube.com/watch?v=axfNxZ1R6C4,2026-06-15,2026-07-22,L0-discovered,2,,views=200036
yt-cGXAmnUabEY,video,Switching back to Windows?!?,@NetworkChuck,https://www.youtube.com/watch?v=cGXAmnUabEY,2026-06-01,2026-07-22,L0-discovered,2,,views=243172
yt-QQEgIo4Juxg,video,you need to use Hermes RIGHT NOW!! (goodbye OpenClaw!!),@NetworkChuck,https://www.youtube.com/watch?v=QQEgIo4Juxg,2026-05-20,2026-07-22,L0-discovered,2,,views=1341264
yt-G3jvn7n-68Y,video,i didn't want to like this....,@NetworkChuck,https://www.youtube.com/watch?v=G3jvn7n-68Y,2026-04-09,2026-07-22,L0-discovered,2,,views=311828
yt-eGSsoSEppNU,video,the WORST hack of 2026,@NetworkChuck,https://www.youtube.com/watch?v=eGSsoSEppNU,2026-03-31,2026-07-22,L0-discovered,1,,views=495617
yt-T-HZHO_PQPY,video,OpenClaw......RIGHT NOW??? (it's not what you think),@NetworkChuck,https://www.youtube.com/watch?v=T-HZHO_PQPY,2026-03-30,2026-07-22,L0-discovered,2,,views=1060469
yt-dbMXi9q78Tk,video,I almost quit YouTube....,@NetworkChuck,https://www.youtube.com/watch?v=dbMXi9q78Tk,2026-03-11,2026-07-22,L0-discovered,2,,views=856240
yt-ocQ7ZKhHU5Q,video,Claude Code on your Phone is OFFICIAL (it changes  everything),@NetworkChuck,https://www.youtube.com/watch?v=ocQ7ZKhHU5Q,2026-02-26,2026-07-22,L0-discovered,2,,views=318052
yt-_yfiUQSbdPY,video,become an AI HACKER (it's easier than you think),@NetworkChuck,https://www.youtube.com/watch?v=_yfiUQSbdPY,2026-02-20,2026-07-22,L0-discovered,2,,views=367939
yt-9LjgqZ2wP0g,video,I Tried running in 3D printed shoes,@NetworkChuck,https://www.youtube.com/watch?v=9LjgqZ2wP0g,2026-02-06,2026-07-22,L0-discovered,2,,views=125450
yt-FEDiAHzS0zw,video,Claude Code on your phone in 10 minutes,@NetworkChuck,https://www.youtube.com/watch?v=FEDiAHzS0zw,2026-01-29,2026-07-22,L0-discovered,2,,views=268517
yt-cT22fTzotYc,video,FREE Phone Calls with Claude Code,@NetworkChuck,https://www.youtube.com/watch?v=cT22fTzotYc,2026-01-23,2026-07-22,L0-discovered,2,,views=243171
yt-bFgTxr5yst0,video,Ethernet is DEAD?? Mac Studio is 100x FASTER!!,@NetworkChuck,https://www.youtube.com/watch?v=bFgTxr5yst0,2025-12-20,2026-07-22,L0-discovered,2,,views=953501
yt-tbCKWX34_G4,video,stop trusting cloud cameras!! (here's what I use instead),@NetworkChuck,https://www.youtube.com/watch?v=tbCKWX34_G4,2025-12-15,2026-07-22,L0-discovered,2,,views=693752
yt-s96JeuuwLzc,video,I'll never use n8n the same......,@NetworkChuck,https://www.youtube.com/watch?v=s96JeuuwLzc,2025-12-10,2026-07-22,L0-discovered,2,,views=617365
yt-o-8amaZBi5M,video,Hackers infected the wrong girlfriend....,@NetworkChuck,https://www.youtube.com/watch?v=o-8amaZBi5M,2025-11-28,2026-07-22,L0-discovered,2,,views=456081
yt-pwWBcsxEoLk,video,You SUCK at Prompting AI (Here's the secret),@NetworkChuck,https://www.youtube.com/watch?v=pwWBcsxEoLk,2025-11-26,2026-07-22,L0-discovered,2,,views=753102
yt-_KzObeom88Y,video,The Dark Web EXPOSED (FREE + Open-Source Tool),@NetworkChuck,https://www.youtube.com/watch?v=_KzObeom88Y,2025-11-17,2026-07-22,L0-discovered,2,,views=1131209
yt-qFsj6KL8_nU,video,DEFCON is Not What I Expected...,@NetworkChuck,https://www.youtube.com/watch?v=qFsj6KL8_nU,2025-11-04,2026-07-22,L0-discovered,2,,views=340517
yt-MsQACpcuTkU,video,You've Been Using AI the Hard Way (Use This Instead),@NetworkChuck,https://www.youtube.com/watch?v=MsQACpcuTkU,2025-10-28,2026-07-22,L0-discovered,1,,views=2105070
yt-FYL9e_aqZY0,video,This AI Supercomputer can fit on your desk...,@NetworkChuck,https://www.youtube.com/watch?v=FYL9e_aqZY0,2025-10-14,2026-07-22,L0-discovered,2,,views=1196192
